Column1,City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,    Male population,Male - Under 5 years,Male - 5 to 9 years,Male - 10 to 14 years,Male - 15 to 19 years,Male - 20 to 24 years,Male - 25 to 29 years,Male - 30 to 34 years,Male - 35 to 39 years,Male - 40 to 44 years,Male - 45 to 49 years,Male - 50 to 54 years,Male - 55 to 59 years,Male - 60 to 64 years,Male - 65 to 69 years,Male - 70 to 74 years,Male - 75 to 79 years,Male - 80 to 84 years,Male - 85 years and over,Female population,Female - Under 5 years,Female - 5 to 9 years,Female - 10 to 14 years,Female - 15 to 19 years,Female - 20 to 24 years,Female - 25 to 29 years,Female - 30 to 34 years,Female - 35 to 39 years,Female - 40 to 44 years,Female - 45 to 49 years,Female - 50 to 54 years,Female - 55 to 59 years,Female - 60 to 64 years,Female - 65 to 69 years,Female - 70 to 74 years,Female - 75 to 79 years,Female - 80 to 84 years,Female - 85 years and over,Median Age_Both sexes,Median Age_Male,Median Age_Female,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,County
0,American Canyon,21837,990,1349,1782,1865,1542,1343,1203,1289,1526,1656,1556,1518,1303,1088,783,464,305,275,17307,16561,15577,3638,2915,10641,475,681,925,945,830,678,574,626,720,780,753,744,622,468,391,209,124,96,11196,515,668,857,920,712,665,629,663,806,876,803,774,681,620,392,255,181,179,38.3,36.6,39.7,5313,1480,227,7774,157,3734,3152,Napa County
1,Calistoga,5228,248,305,330,303,268,297,291,281,306,310,351,330,353,381,321,259,146,148,4257,4121,3987,1476,1255,2501,121,163,162,176,140,146,148,142,134,157,163,143,183,171,131,119,54,48,2727,127,142,168,127,128,151,143,139,172,153,188,187,170,210,190,140,92,100,44.8,42.3,47.2,2550,26,84,88,3,1420,1057,Napa County
2,Napa,79246,3856,4348,4968,4974,4211,5118,5469,5656,5096,5107,5282,5392,5103,4536,3899,2588,1718,1925,65027,62955,60277,17707,14666,38759,1962,2216,2535,2565,2229,2608,2814,2840,2475,2529,2539,2648,2432,2123,1765,1124,709,646,40487,1894,2132,2433,2409,1982,2510,2655,2816,2621,2578,2743,2744,2671,2413,2134,1464,1009,1279,40.9,39.2,42.6,46173,634,1260,2082,143,16190,12764,Napa County
3,St. Helena,5430,185,307,342,336,231,241,264,274,320,355,359,363,397,406,358,302,193,197,4527,4389,4204,1680,1456,2538,108,148,167,172,118,119,130,132,138,173,173,162,175,173,159,134,81,76,2892,77,159,175,164,113,122,134,142,182,182,186,201,222,233,199,168,112,121,48,46.2,49.9,3498,14,61,94,6,1031,726,Napa County
4,Yountville,3436,51,54,41,53,45,73,98,60,89,79,89,159,250,277,382,409,445,782,3282,3249,3225,2467,2295,1822,26,28,23,29,20,35,58,25,48,34,38,63,126,151,251,219,259,389,1614,25,26,18,24,25,38,40,35,41,45,51,96,124,126,131,190,186,393,74,74.2,73.3,2912,64,32,73,3,126,226,Napa County
0,San Francisco,873965,34890,30486,30152,30788,54485,98991,103419,79086,59410,55316,54621,51981,48241,44080,37105,22971,17292,20651,772514,760738,739967,170412,142099,446144,17726,15530,15309,15391,26513,50311,54392,42373,31527,29547,29587,27927,24874,21986,17629,10445,7373,7704,427821,17164,14956,14843,15397,27972,48680,49027,36713,27883,25769,25034,24054,23367,22094,19476,12526,9919,12947,38.2,38.1,38.3,361382,46725,6475,296505,3476,73169,86233,San Francisco County
0,Atherton,7188,192,312,493,804,620,254,201,205,259,404,554,539,504,465,453,370,233,326,6070,5825,5172,2146,1847,3498,93,181,271,395,333,125,113,79,130,180,269,258,244,217,214,181,107,108,3690,99,131,222,409,287,129,88,126,129,224,285,281,260,248,239,189,126,218,48.4,45.7,50,4844,100,14,1411,45,150,624,San Mateo County
1,Belmont,28335,1504,1797,1801,1651,1307,1755,2052,2155,2252,2147,1966,1811,1566,1282,1121,843,608,717,22868,22198,21289,5469,4571,13908,776,898,892,814,644,920,1012,1077,1081,1078,966,911,769,624,524,400,268,254,14427,728,899,909,837,663,835,1040,1078,1171,1069,1000,900,797,658,597,443,340,463,40.3,39.6,40.9,14248,370,102,8398,148,1527,3542,San Mateo County
2,Brisbane,4851,270,269,241,199,194,236,372,432,382,361,380,363,361,299,227,122,73,70,4026,3948,3838,984,791,2416,130,144,113,93,104,124,186,228,186,167,183,184,167,154,123,64,30,36,2435,140,125,128,106,90,112,186,204,196,194,197,179,194,145,104,58,43,34,42.5,41.9,43,2114,89,30,1539,24,365,690,San Mateo County
3,Burlingame,31386,1666,2133,2125,1717,1135,1803,2410,2421,2585,2463,2179,2011,1659,1549,1189,856,706,779,25071,24302,23549,6081,5079,15147,850,1046,1106,873,605,860,1214,1153,1239,1212,1064,984,786,687,509,376,298,285,16239,816,1087,1019,844,530,943,1196,1268,1346,1251,1115,1027,873,862,680,480,408,494,40.5,39.5,41.5,16647,298,120,8649,113,1901,3658,San Mateo County
