,City,SEX AND AGE,    Total population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,    Male population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,    Female population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,MEDIAN AGE BY SEX,    Both sexes,    Male,    Female,RACE,    Total population,        One Race,            White,            Black or African American,            American Indian and Alaska Native,            Asian,            Native Hawaiian and Other Pacific Islander,            Some Other Race,        Two or More Races,TOTAL RACES TALLIED [1],    Total races tallied,        White alone or in combination with one or more other races,        Black or African American alone or in combination with one or more other races,        American Indian and Alaska Native alone or in combination with one or more other races,        Asian alone or in combination with one or more other races,        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,        Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,    Total population,        Hispanic or Latino (of any race),        Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,    Total population,        Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Two or More Races,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Two or More Races,RELATIONSHIP,    Total population,        In households,            Householder,            Opposite-sex spouse,            Same-sex spouse,            Opposite-sex unmarried partner,            Same-sex unmarried partner,            Child [2],                Under 18 years,            Grandchild,                Under 18 years,            Other relatives,            Nonrelatives,        In group quarters,            Institutionalized population:,                Male,                Female,            Noninstitutionalized population:,                Male,                Female,HOUSEHOLDS BY TYPE,    Total households,        Married couple household,            With own children under 18 [3],        Cohabiting couple household,            With own children under 18 [3],"        Male householder, no spouse or partner present:",            Living alone,                65 years and over,            With own children under 18 [3],"        Female householder, no spouse or partner present:",            Living alone,                65 years and over,            With own children under 18 [3],        Households with individuals under 18 years,        Households with individuals 65 years and over,HOUSING OCCUPANCY,    Total housing units,        Occupied housing units,        Vacant housing units,            For rent,"            Rented, not occupied",            For sale only,"            Sold, not occupied","            For seasonal, recreational, or occasional use",            All other vacants,VACANCY RATES,    Homeowner vacancy rate (percent) [4],    Rental vacancy rate (percent) [5],HOUSING TENURE,    Occupied housing units,        Owner-occupied housing units,        Renter-occupied housing units,County
8,Monte Sereno,,"3,479",101,167,262,258,197,102,81,85,170,245,348,336,280,236,203,168,121,119,,"2,897","2,777","2,642",995,847,"1,722",51,87,133,139,93,57,33,31,77,115,162,179,150,109,110,77,62,57,,"1,423","1,361","1,283",494,415,"1,757",50,80,129,119,104,45,48,54,93,130,186,157,130,127,93,91,59,62,,"1,474","1,416","1,359",501,432,,51.2,51.6,50.7,,"3,479","3,118","2,354",26,9,682,3,44,361,,"3,864","2,698",57,51,835,9,214,,"3,479",230,"3,249",,"3,479",230,44,2,4,6,0,30,144,"3,249","2,310",24,5,676,3,14,217,,"3,479","3,479","1,219",927,7,27,9,"1,066",652,50,30,117,57,0,0,0,0,0,0,0,,"1,223",937,345,27,7,112,69,36,16,147,83,57,7,435,551,,"1,300","1,223",77,3,0,2,9,28,35,,0.2,2.3,,"1,223","1,096",127,Santa Clara County
9,Morgan Hill,,"45,483","2,615","3,074","3,293","3,208","2,494","2,245","2,716","3,129","3,076","3,235","3,286","3,375","2,893","2,230","1,806","1,273",772,763,,"35,827","34,469","32,741","8,484","6,844","22,207","1,347","1,546","1,652","1,640","1,304","1,128","1,325","1,499","1,437","1,577","1,594","1,685","1,460","1,018",826,563,336,270,,"17,318","16,645","15,747","3,868","3,013","23,276","1,268","1,528","1,641","1,568","1,190","1,117","1,391","1,630","1,639","1,658","1,692","1,690","1,433","1,212",980,710,436,493,,"18,509","17,824","16,994","4,616","3,831",,39.9,39.0,40.9,,"45,483","38,443","22,588",994,653,"6,728",188,"7,292","7,040",,"53,120","29,153","1,552","1,647","8,451",450,"11,867",,"45,483","15,044","30,439",,"45,483","15,044","2,589",77,538,186,31,"7,027","4,596","30,439","19,999",917,115,"6,542",157,265,"2,444",,"45,483","44,886","15,183","9,116",80,810,26,"14,888","9,843",919,673,"2,620","1,244",597,207,92,115,390,210,180,,"15,140","9,189","4,172",837,308,"1,876","1,019",368,260,"3,238","1,541",894,657,"6,025","4,811",,"15,567","15,140",427,162,8,66,26,47,118,,0.6,3.7,,"15,140","10,875","4,265",Santa Clara County
10,Mountain View,,"82,376","4,818","4,541","4,119","3,578","4,333","9,190","10,011","8,017","6,033","5,215","4,758","4,246","3,778","2,983","2,346","1,670","1,241","1,499",,"68,092","66,517","64,753","11,949","9,739","42,720","2,458","2,345","2,089","1,848","2,544","5,224","5,432","4,245","3,184","2,609","2,454","2,126","1,904","1,416","1,038",716,521,567,,"35,408","34,615","33,662","5,358","4,258","39,656","2,360","2,196","2,030","1,730","1,789","3,966","4,579","3,772","2,849","2,606","2,304","2,120","1,874","1,567","1,308",954,720,932,,"32,684","31,902","31,091","6,591","5,481",,35.3,34.4,36.3,,"82,376","72,995","34,895","1,227",667,"28,891",229,"7,086","9,381",,"92,421","43,611","1,993","1,587","32,102",569,"12,559",,"82,376","14,206","68,170",,"82,376","14,206","1,887",72,566,131,14,"6,529","5,007","68,170","33,008","1,155",101,"28,760",215,557,"4,374",,"82,376","81,641","34,422","15,535",211,"2,288",142,"19,504","14,860",564,415,"3,460","5,515",735,295,90,205,440,292,148,,"34,423","15,737","7,474","2,429",311,"8,487","5,616",990,431,"7,770","4,742","1,831",862,"9,720","7,069",,"37,295","34,423","2,872","1,458",267,148,46,298,655,,1.1,6.4,,"34,423","13,305","21,118",Santa Clara County
11,Palo Alto,,"68,572","2,885","3,934","4,882","4,667","3,433","4,250","4,119","4,242","4,390","5,031","5,016","4,561","3,692","3,220","2,983","2,509","1,960","2,798",,"55,783","53,607","51,649","15,563","13,470","33,717","1,448","2,067","2,538","2,430","1,825","2,281","2,093","2,103","2,084","2,326","2,486","2,323","1,821","1,574","1,355","1,072",853,"1,038",,"27,070","25,959","24,969","6,932","5,892","34,855","1,437","1,867","2,344","2,237","1,608","1,969","2,026","2,139","2,306","2,705","2,530","2,238","1,871","1,646","1,628","1,437","1,107","1,760",,"28,713","27,648","26,680","8,631","7,578",,42.2,40.2,43.9,,"68,572","62,091","34,191","1,225",141,"24,317",157,"2,060","6,481",,"75,574","40,345","1,898",675,"27,358",374,"4,924",,"68,572","5,091","63,481",,"68,572","5,091",948,55,104,71,11,"1,557","2,345","63,481","33,243","1,170",37,"24,246",146,503,"4,136",,"68,572","67,742","26,673","14,541",123,"1,084",67,"19,865","14,389",462,314,"1,890","3,037",830,681,292,389,149,95,54,,"26,677","14,662","7,032","1,131",145,"4,352","2,982","1,088",315,"6,532","4,114","2,444",837,"8,719","9,165",,"28,904","26,677","2,227",839,117,174,167,419,511,,1.2,6.2,,"26,677","14,063","12,614",Santa Clara County
12,San Jose,,"1,013,240","53,351","57,849","63,892","65,504","65,454","78,464","80,670","78,054","70,939","71,513","69,190","66,261","57,482","44,002","34,245","23,889","16,259","16,222",,"825,339","799,477","760,094","167,741","134,617","509,260","27,521","29,681","32,867","33,886","33,951","41,327","42,017","39,794","35,338","35,489","34,778","33,653","28,501","20,769","15,800","10,606","7,020","6,262",,"412,593","399,208","378,879","76,799","60,457","503,980","25,830","28,168","31,025","31,618","31,503","37,137","38,653","38,260","35,601","36,024","34,412","32,608","28,981","23,233","18,445","13,283","9,239","9,960",,"412,746","400,269","381,215","90,942","74,160",,37.6,36.6,38.6,,"1,013,240","899,473","276,523","29,308","14,665","390,532","4,082","184,363","113,767",,"1,136,997","379,649","39,093","29,388","419,365","8,834","260,668",,"1,013,240","316,266","696,974",,"1,013,240","316,266","40,428","1,886","12,744","3,539",622,"179,555","77,492","696,974","236,095","27,422","1,921","386,993","3,460","4,808","36,275",,"1,013,240","998,004","328,607","173,472","2,132","19,063","1,326","289,419","180,396","23,432","17,683","99,034","61,519","15,236","2,895","1,634","1,261","12,341","6,975","5,366",,"328,622","175,614","80,093","20,393","6,255","57,727","30,262","7,553","5,176","74,888","32,136","15,153","13,047","118,983","93,253",,"342,037","328,622","13,415","7,073",660,993,447,913,"3,329",,0.6,4.5,,"328,622","177,470","151,152",Santa Clara County
13,Santa Clara,,"127,647","7,905","6,922","6,129","7,392","8,287","13,591","14,802","12,026","8,705","7,671","7,065","6,833","5,945","4,551","3,436","2,430","1,880","2,077",,"105,532","103,169","97,459","17,750","14,374","65,441","4,091","3,562","3,126","3,743","4,518","7,251","7,834","6,538","4,558","3,944","3,591","3,488","2,907","2,141","1,553","1,042",786,768,,"54,076","52,884","49,894","7,934","6,290","62,206","3,814","3,360","3,003","3,649","3,769","6,340","6,968","5,488","4,147","3,727","3,474","3,345","3,038","2,410","1,883","1,388","1,094","1,309",,"51,456","50,285","47,565","9,816","8,084",,34.5,34.0,35.2,,"127,647","115,178","39,504","2,839",993,"60,002",450,"11,390","12,469",,"141,168","50,890","3,980","2,447","64,220","1,047","18,584",,"127,647","22,550","105,097",,"127,647","22,550","3,574",126,807,324,60,"10,593","7,066","105,097","35,930","2,713",186,"59,678",390,797,"5,403",,"127,647","124,157","47,022","24,135",240,"2,569",165,"31,797","22,300","1,667","1,210","8,133","8,429","3,490",410,186,224,"3,080","1,508","1,572",,"47,004","24,394","11,508","2,737",508,"10,038","5,717","1,106",664,"9,835","5,047","2,109","1,148","15,066","10,209",,"50,229","47,004","3,225","1,970",153,175,81,255,591,,0.9,6.5,,"47,004","18,912","28,092",Santa Clara County
14,Saratoga,,"31,051",794,"1,475","2,240","2,437","1,604","1,042",762,"1,075","1,712","2,427","2,762","2,830","2,535","1,911","1,658","1,379","1,186","1,222",,"25,988","24,875","23,777","8,871","7,356","15,282",391,762,"1,163","1,265",863,582,401,483,761,"1,123","1,330","1,438","1,269",930,834,616,523,548,,"12,685","12,097","11,533","4,217","3,451","15,769",403,713,"1,077","1,172",741,460,361,592,951,"1,304","1,432","1,392","1,266",981,824,763,663,674,,"13,303","12,778","12,244","4,654","3,905",,49.9,49.5,50.4,,"31,051","29,152","11,771",104,38,"16,857",48,334,"1,899",,"33,113","13,532",249,252,"17,821",159,"1,100",,"31,051","1,125","29,926",,"31,051","1,125",233,6,14,28,10,187,647,"29,926","11,538",98,24,"16,829",38,147,"1,252",,"31,051","30,893","10,817","7,951",35,204,15,"9,657","5,856",296,201,"1,372",546,158,143,45,98,15,4,11,,"10,830","7,981","3,135",229,48,928,546,338,98,"1,692","1,018",797,179,"3,743","4,755",,"11,264","10,830",434,84,7,40,51,92,160,,0.4,5.0,,"10,830","9,239","1,591",Santa Clara County
15,Sunnyvale,,"155,805","9,722","8,996","8,104","6,925","8,173","17,517","18,043","14,409","10,900","9,531","8,816","8,455","7,577","5,533","4,448","3,324","2,511","2,821",,"127,478","124,530","120,845","23,079","18,637","80,520","5,032","4,634","4,192","3,684","4,609","9,694","9,700","7,792","5,725","4,831","4,394","4,193","3,744","2,660","2,019","1,466","1,087","1,064",,"65,846","64,302","62,291","10,474","8,296","75,285","4,690","4,362","3,912","3,241","3,564","7,823","8,343","6,617","5,175","4,700","4,422","4,262","3,833","2,873","2,429","1,858","1,424","1,757",,"61,632","60,228","58,554","12,605","10,341",,35.1,34.3,36.1,,"155,805","142,374","46,551","2,228","1,081","77,842",491,"14,181","13,431",,"170,395","58,989","3,229","2,656","82,541","1,036","21,944",,"155,805","25,372","130,433",,"155,805","25,372","3,270",94,894,290,52,"13,342","7,430","130,433","43,281","2,134",187,"77,552",439,839,"6,001",,"155,805","154,511","58,403","31,323",256,"3,134",192,"40,021","28,962","1,642","1,162","9,164","10,376","1,294",690,309,381,604,334,270,,"58,407","31,595","15,274","3,326",546,"12,137","6,917","1,288",679,"11,349","5,807","2,556","1,352","19,153","12,969",,"61,272","58,407","2,865","1,598",126,199,63,311,568,,0.8,4.7,,"58,407","25,823","32,584",Santa Clara County
0,Benicia,,"27,131","1,183","1,454","1,647","1,704","1,289","1,185","1,436","1,734","1,666","1,675","1,903","2,103","2,280","2,094","1,731",985,568,494,,"22,490","21,771","20,823","7,250","5,872","12,881",599,731,848,886,689,568,671,810,812,742,857,987,"1,049",962,810,415,259,186,,"10,528","10,150","9,642","3,288","2,632","14,250",584,723,799,818,600,617,765,924,854,933,"1,046","1,116","1,231","1,132",921,570,309,308,,"11,962","11,621","11,181","3,962","3,240",,45.8,43.9,47.5,,"27,131","23,089","17,122","1,378",168,"3,260",113,"1,048","4,042",,"31,633","20,798","2,049",842,"4,648",418,"2,878",,"27,131","4,008","23,123",,"27,131","4,008","1,001",51,106,103,12,920,"1,815","23,123","16,121","1,327",62,"3,157",101,128,"2,227",,"27,131","27,093","10,955","5,694",60,560,45,"7,710","4,828",485,339,923,661,38,0,0,0,38,15,23,,"10,957","5,747","2,025",599,155,"1,530",999,382,160,"3,081","1,780",967,479,"3,231","4,189",,"11,377","10,957",420,135,13,68,25,65,114,,0.9,3.9,,"10,957","7,630","3,327",Solano County
1,Dixon,,"18,988","1,136","1,288","1,379","1,373","1,191","1,232","1,340","1,373","1,193","1,127","1,199","1,284","1,219",934,709,426,302,283,,"14,906","14,307","13,591","3,373","2,654","9,353",599,647,724,705,620,631,659,687,598,538,582,610,584,435,316,185,130,103,,"7,237","6,939","6,576","1,513","1,169","9,635",537,641,655,668,571,601,681,686,595,589,617,674,635,499,393,241,172,180,,"7,669","7,368","7,015","1,860","1,485",,37.0,35.5,38.4,,"18,988","15,836","9,776",590,307,685,94,"4,384","3,152",,"22,407","12,732",869,842,"1,192",236,"6,536",,"18,988","8,302","10,686",,"18,988","8,302","1,549",40,223,33,30,"4,259","2,168","10,686","8,227",550,84,652,64,125,984,,"18,988","18,984","6,385","3,545",36,473,13,"6,364","4,097",468,342,"1,146",554,4,0,0,0,4,1,3,,"6,374","3,574","1,561",476,211,865,405,140,132,"1,459",713,411,276,"2,551","2,037",,"6,554","6,374",180,74,15,27,5,17,42,,0.6,3.3,,"6,374","4,201","2,173",Solano County
2,Fairfield,,"119,881","7,453","8,061","8,585","8,231","8,260","8,526","8,666","8,583","7,592","7,399","7,224","7,742","7,115","5,652","4,186","2,738","1,857","2,011",,"94,131","90,819","85,922","20,530","16,444","59,009","3,847","4,111","4,415","4,259","4,359","4,388","4,286","4,283","3,650","3,552","3,524","3,725","3,353","2,605","1,933","1,202",776,741,,"45,839","44,120","41,513","9,183","7,257","60,872","3,606","3,950","4,170","3,972","3,901","4,138","4,380","4,300","3,942","3,847","3,700","4,017","3,762","3,047","2,253","1,536","1,081","1,270",,"48,292","46,699","44,409","11,347","9,187",,36.1,34.8,37.6,,"119,881","101,641","38,910","17,866","1,568","22,447","1,301","19,549","18,240",,"140,481","54,465","22,346","4,428","27,882","2,733","28,627",,"119,881","36,723","83,158",,"119,881","36,723","5,645",650,"1,184",526,100,"18,889","9,729","83,158","33,265","17,216",384,"21,921","1,201",660,"8,511",,"119,881","118,173","39,051","20,194",257,"2,415",84,"38,574","24,675","3,639","2,810","9,359","4,600","1,708",481,290,191,"1,227",899,328,,"39,026","20,456","8,994","2,498","1,068","6,127","3,219","1,026",799,"9,945","4,150","2,115","2,195","15,267","11,934",,"40,539","39,026","1,513",796,53,206,53,89,316,,0.9,4.9,,"39,026","23,477","15,549",Solano County
3,Rio Vista,,"10,005",359,272,339,352,321,388,417,365,312,294,420,657,992,"1,221","1,470",955,484,387,,"8,967","8,820","8,617","5,149","4,517","4,756",183,145,168,188,168,194,217,184,146,157,203,283,458,523,670,443,245,181,,"4,219","4,141","4,039","2,364","2,062","5,249",176,127,171,164,153,194,200,181,166,137,217,374,534,698,800,512,239,206,,"4,748","4,679","4,578","2,785","2,455",,62.8,61.8,63.5,,"10,005","8,930","6,766",824,93,622,41,584,"1,075",,"11,224","7,784",974,356,821,106,"1,183",,"10,005","1,602","8,403",,"10,005","1,602",372,17,42,23,4,550,594,"8,403","6,394",807,51,599,37,34,481,,"10,005","9,999","4,856","2,446",26,273,6,"1,676","1,000",139,102,374,203,6,0,0,0,6,1,5,,"4,881","2,485",378,292,80,776,569,331,31,"1,328",974,744,69,709,"3,053",,"5,199","4,881",318,49,4,104,15,79,67,,2.6,5.0,,"4,881","3,950",931,Solano County
4,Suisun City,,"29,518","1,729","1,889","2,079","1,949","1,952","2,173","2,215","2,160","1,925","1,665","1,797","2,057","1,915","1,529","1,156",596,365,367,,"23,418","22,642","21,492","5,150","4,013","14,368",882,975,"1,056",992,987,"1,103","1,096","1,066",923,803,843,976,846,725,524,267,161,143,,"11,244","10,863","10,279","2,323","1,820","15,150",847,914,"1,023",957,965,"1,070","1,119","1,094","1,002",862,954,"1,081","1,069",804,632,329,204,224,,"12,174","11,779","11,213","2,827","2,193",,36.7,35.5,38.0,,"29,518","24,685","8,410","5,604",501,"5,837",379,"3,954","4,833",,"35,053","12,384","6,916","1,336","7,258",835,"6,324",,"29,518","8,585","20,933",,"29,518","8,585","1,556",209,397,107,15,"3,742","2,559","20,933","6,854","5,395",104,"5,730",364,212,"2,274",,"29,518","29,449","9,332","4,792",50,636,32,"9,386","5,525","1,194",881,"2,828","1,199",69,18,9,9,51,23,28,,"9,316","4,834","1,924",670,289,"1,402",665,192,187,"2,410",820,398,562,"3,687","3,103",,"9,522","9,316",206,75,5,43,11,20,52,,0.7,2.4,,"9,316","6,284","3,032",Solano County
5,Vacaville,,"102,386","5,625","6,044","6,462","6,350","6,338","7,282","7,779","7,678","6,648","6,321","6,443","7,177","6,565","5,347","4,271","2,567","1,681","1,808",,"82,915","80,306","76,765","19,553","15,674","53,104","2,834","3,042","3,372","3,268","3,625","4,099","4,230","4,095","3,576","3,322","3,386","3,718","3,352","2,616","2,074","1,164",686,645,,"43,184","41,858","39,964","9,183","7,185","49,282","2,791","3,002","3,090","3,082","2,713","3,183","3,549","3,583","3,072","2,999","3,057","3,459","3,213","2,731","2,197","1,403",995,"1,163",,"39,731","38,448","36,801","10,370","8,489",,38.4,37.5,39.5,,"102,386","86,040","52,997","9,796","1,082","9,196",789,"12,180","16,346",,"120,682","67,656","12,752","4,082","13,733","2,047","20,412",,"102,386","27,402","74,984",,"102,386","27,402","5,659",410,687,396,126,"11,515","8,609","74,984","47,338","9,386",395,"8,800",663,665,"7,737",,"102,386","95,446","34,906","17,960",192,"2,224",103,"29,399","19,500","2,270","1,687","5,037","3,355","6,940","6,780","6,669",111,160,75,85,,"34,932","18,163","7,361","2,337",864,"5,406","3,127","1,019",672,"9,026","4,567","2,544","1,698","11,962","10,997",,"36,012","34,932","1,080",551,49,141,55,60,224,,0.6,4.2,,"34,932","22,462","12,470",Solano County
6,Vallejo,,"126,090","6,723","7,140","7,475","7,659","7,994","8,613","9,157","8,657","7,799","7,551","8,152","8,630","8,834","7,814","6,084","3,633","2,165","2,010",,"103,267","100,257","95,464","26,869","21,706","61,429","3,397","3,553","3,860","3,993","4,153","4,339","4,539","4,324","3,828","3,599","3,996","4,083","4,119","3,640","2,787","1,650",872,697,,"49,840","48,324","45,774","12,020","9,646","64,661","3,326","3,587","3,615","3,666","3,841","4,274","4,618","4,333","3,971","3,952","4,156","4,547","4,715","4,174","3,297","1,983","1,293","1,313",,"53,427","51,933","49,690","14,849","12,060",,39.8,38.2,41.2,,"126,090","110,183","30,451","25,133","1,426","29,723","1,343","22,107","15,907",,"144,056","43,244","29,470","4,170","34,205","2,845","30,122",,"126,090","35,835","90,255",,"126,090","35,835","4,011",687,995,571,88,"21,070","8,413","90,255","26,440","24,446",431,"29,152","1,255","1,037","7,494",,"126,090","123,961","43,541","18,054",418,"3,120",277,"35,379","20,392","4,558","3,352","12,232","6,382","2,129",474,222,252,"1,655","1,121",534,,"43,539","18,469","6,477","3,395","1,297","8,373","4,683","1,703",904,"13,302","5,722","2,756","2,650","14,038","15,475",,"45,523","43,539","1,984",902,75,221,89,160,537,,0.9,4.5,,"43,539","24,510","19,029",Solano County
0,Cloverdale,,"8,996",465,532,593,513,489,524,592,611,563,487,542,585,619,583,525,333,232,208,,"7,291","7,080","6,780","2,264","1,881","4,451",233,301,296,263,268,277,306,303,288,233,257,283,289,273,235,147,105,94,,"3,559","3,461","3,302","1,029",854,"4,545",232,231,297,250,221,247,286,308,275,254,285,302,330,310,290,186,127,114,,"3,732","3,619","3,478","1,235","1,027",,41.8,39.7,43.5,,"8,996","7,542","5,230",69,287,100,17,"1,839","1,454",,"10,515","6,622",127,579,218,41,"2,928",,"8,996","3,470","5,526",,"8,996","3,470",396,11,201,11,1,"1,786","1,064","5,526","4,834",58,86,89,16,53,390,,"8,996","8,931","3,361","1,732",23,236,8,"2,557","1,616",220,155,491,303,65,59,27,32,6,4,2,,"3,365","1,779",640,235,85,516,317,151,46,835,493,303,121,"1,095","1,355",,"3,524","3,365",159,40,4,20,5,35,55,,0.9,3.2,,"3,365","2,178","1,187",Sonoma County
1,Cotati,,"7,584",366,440,428,421,502,517,573,605,495,460,500,519,558,480,325,200,102,93,,"6,260","6,102","5,846","1,527","1,200","3,611",189,229,213,195,238,274,286,309,246,218,232,226,258,216,139,72,44,27,,"2,942","2,866","2,744",647,498,"3,973",177,211,215,226,264,243,287,296,249,242,268,293,300,264,186,128,58,66,,"3,318","3,236","3,102",880,702,,39.5,37.8,40.9,,"7,584","6,417","5,164",106,94,301,20,732,"1,167",,"8,823","6,281",234,319,488,53,"1,448",,"7,584","1,720","5,864",,"7,584","1,720",298,3,51,9,0,672,687,"5,864","4,866",103,43,292,20,60,480,,"7,584","7,574","3,100","1,216",38,264,11,"2,002","1,323",124,74,347,472,10,0,0,0,10,6,4,,"3,089","1,258",492,280,96,592,329,108,57,959,539,279,136,898,"1,008",,"3,209","3,089",120,49,4,16,9,14,28,,0.9,3.6,,"3,089","1,766","1,323",Sonoma County
2,Healdsburg,,"11,340",521,552,681,650,562,591,654,692,710,628,739,852,854,855,793,493,239,274,,"9,443","9,184","8,797","3,181","2,654","5,517",269,278,345,339,304,317,327,346,335,294,362,386,388,380,383,246,99,119,,"4,548","4,413","4,207","1,458","1,227","5,823",252,274,336,311,258,274,327,346,375,334,377,466,466,475,410,247,140,155,,"4,895","4,771","4,590","1,723","1,427",,45.4,43.5,47.3,,"11,340","9,741","7,194",65,227,169,12,"2,074","1,599",,"13,045","8,713",159,478,362,48,"3,285",,"11,340","3,925","7,415",,"11,340","3,925",559,14,168,5,0,"2,014","1,165","7,415","6,635",51,59,164,12,60,434,,"11,340","11,261","4,534","2,199",41,288,33,"2,936","1,825",251,178,521,458,79,54,32,22,25,12,13,,"4,519","2,229",728,321,90,703,458,215,62,"1,266",745,450,177,"1,239","1,918",,"5,051","4,519",532,81,32,40,21,264,94,,1.5,4.0,,"4,519","2,622","1,897",Sonoma County
3,Petaluma,,"59,776","2,805","3,365","3,746","3,650","2,878","3,093","3,595","4,090","3,952","3,850","4,091","4,450","4,260","3,952","3,267","2,146","1,239","1,347",,"49,108","47,559","45,623","14,423","11,951","28,796","1,343","1,676","1,955","1,926","1,498","1,561","1,772","2,011","1,917","1,853","2,015","2,096","1,999","1,829","1,484",931,484,446,,"23,433","22,625","21,596","6,331","5,174","30,980","1,462","1,689","1,791","1,724","1,380","1,532","1,823","2,079","2,035","1,997","2,076","2,354","2,261","2,123","1,783","1,215",755,901,,"25,675","24,934","24,027","8,092","6,777",,43.4,41.7,44.9,,"59,776","51,831","40,717",836,747,"2,857",165,"6,509","7,945",,"68,289","48,376","1,435","2,112","4,477",453,"11,436",,"59,776","13,606","46,170",,"59,776","13,606","2,179",58,568,48,17,"6,126","4,610","46,170","38,538",778,179,"2,809",148,383,"3,335",,"59,776","59,181","23,206","11,532",157,"1,529",62,"16,811","11,118",904,662,"2,456","2,524",595,336,126,210,259,142,117,,"23,190","11,690","4,686","1,617",453,"3,474","2,148",964,350,"6,409","3,757","2,341",854,"7,013","8,634",,"24,067","23,190",877,402,21,98,39,106,211,,0.7,4.5,,"23,190","14,692","8,498",Sonoma County
4,Rohnert Park,,"44,390","2,358","2,425","2,448","2,612","4,302","3,626","3,552","3,197","2,706","2,390","2,690","2,880","2,679","2,376","1,826","1,016",625,682,,"36,619","35,628","33,762","8,149","6,525","21,531","1,131","1,244","1,243","1,327","2,072","1,852","1,808","1,578","1,413","1,198","1,326","1,306","1,231","1,075",816,415,263,233,,"17,659","17,131","16,195","3,502","2,802","22,859","1,227","1,181","1,205","1,285","2,230","1,774","1,744","1,619","1,293","1,192","1,364","1,574","1,448","1,301","1,010",601,362,449,,"18,960","18,497","17,567","4,647","3,723",,36.3,35.3,37.4,,"44,390","37,896","26,296",977,712,"2,833",175,"6,903","6,494",,"51,405","32,431","1,618","1,935","4,049",450,"10,922",,"44,390","13,131","31,259",,"44,390","13,131","2,083",44,466,84,9,"6,595","3,850","31,259","24,213",933,246,"2,749",166,308,"2,644",,"44,390","44,044","16,794","7,132",115,"1,473",61,"11,779","7,597",818,611,"2,451","3,421",346,9,1,8,337,181,156,,"16,827","7,247","2,931","1,531",439,"3,148","1,732",597,302,"4,901","2,472","1,323",675,"5,058","5,184",,"17,768","16,827",941,595,38,73,29,30,176,,0.8,7.0,,"16,827","8,999","7,828",Sonoma County
5,Santa Rosa,,"178,127","9,015","10,300","11,502","10,975","10,412","11,801","12,499","12,819","11,641","10,674","10,892","11,027","11,172","10,397","9,073","5,834","3,687","4,407",,"145,007","140,541","134,250","39,965","33,398","86,767","4,662","5,261","5,848","5,663","5,321","6,013","6,395","6,402","5,753","5,266","5,468","5,244","5,210","4,678","4,031","2,554","1,440","1,558",,"69,801","67,514","64,277","17,312","14,261","91,360","4,353","5,039","5,654","5,312","5,091","5,788","6,104","6,417","5,888","5,408","5,424","5,783","5,962","5,719","5,042","3,280","2,247","2,849",,"75,206","73,027","69,973","22,653","19,137",,39.9,38.2,41.5,,"178,127","153,394","99,224","4,062","4,039","10,938","1,033","34,098","24,733",,"204,855","122,480","6,461","8,853","14,715","1,833","50,513",,"178,127","61,082","117,045",,"178,127","61,082","8,697",260,"2,644",279,61,"33,133","16,008","117,045","90,527","3,802","1,395","10,659",972,965,"8,725",,"178,127","174,822","66,924","28,878",687,"5,357",356,"48,584","32,726","3,252","2,529","11,011","9,773","3,305","1,364",836,528,"1,941","1,094",847,,"66,843","29,542","11,818","5,687","1,891","11,763","7,063","2,774","1,186","19,851","11,079","6,717","3,265","20,395","23,949",,"70,300","66,843","3,457","1,401",125,432,134,410,955,,1.2,4.3,,"66,843","36,095","30,748",Sonoma County
